iter	Passed	Remaining
0	177	177388
1	199	99481
2	218	72477
3	237	59226
4	260	51831
5	281	46606
6	300	42594
7	323	40175
8	342	37723
9	365	36168
10	373	33578
11	392	32317
12	413	31400
13	420	29590
14	439	28851
15	459	28276
16	481	27822
17	497	27164
18	519	26811
19	539	26420
20	544	25383
21	565	25138
22	572	24335
23	592	24097
24	599	23382
25	618	23161
26	638	23004
27	662	22994
28	683	22898
29	690	22324
30	696	21775
31	714	21628
32	737	21618
33	755	21468
34	775	21372
35	793	21241
36	816	21258
37	823	20839
38	843	20785
39	865	20777
40	883	20676
41	905	20650
42	927	20635
43	933	20287
44	956	20300
45	975	20241
46	982	19926
47	1000	19834
48	1021	19824
49	1038	19738
50	1058	19688
51	1080	19690
52	1101	19687
53	1122	19662
54	1140	19598
55	1160	19563
56	1179	19506
57	1200	19493
58	1220	19461
59	1240	19441
60	1246	19194
61	1267	19168
62	1286	19134
63	1305	19097
64	1325	19059
65	1346	19060
66	1367	19047
67	1389	19042
68	1410	19029
69	1430	18999
70	1446	18930
71	1462	18850
72	1483	18832
73	1502	18799
74	1521	18759
75	1539	18720
76	1558	18684
77	1578	18662
78	1599	18642
79	1616	18589
80	1636	18568
81	1658	18562
82	1680	18565
83	1701	18555
84	1720	18523
85	1740	18495
86	1762	18492
87	1780	18451
88	1798	18406
89	1815	18361
90	1838	18360
91	1857	18333
92	1877	18306
93	1898	18296
94	1918	18273
95	1938	18253
96	1958	18236
97	1977	18205
98	1997	18180
99	2015	18137
100	2034	18105
101	2055	18098
102	2075	18070
103	2094	18046
104	2114	18021
105	2134	17998
106	2154	17983
107	2174	17960
108	2195	17950
109	2218	17945
110	2236	17908
111	2256	17891
112	2276	17872
113	2295	17838
114	2313	17801
115	2334	17786
116	2350	17740
117	2368	17705
118	2390	17697
119	2410	17676
120	2417	17561
121	2435	17524
122	2452	17488
123	2472	17466
124	2492	17448
125	2512	17429
126	2530	17396
127	2548	17363
128	2567	17333
129	2584	17292
130	2603	17270
131	2624	17256
132	2642	17225
133	2662	17208
134	2684	17199
135	2703	17172
136	2721	17145
137	2741	17121
138	2758	17087
139	2783	17096
140	2801	17066
141	2821	17047
142	2840	17025
143	2859	16998
144	2880	16987
145	2903	16980
146	2922	16956
147	2942	16938
148	2961	16911
149	2981	16892
150	3000	16867
151	3020	16848
152	3037	16817
153	3057	16793
154	3075	16766
155	3094	16740
156	3113	16720
157	3133	16699
158	3153	16679
159	3174	16667
160	3193	16641
161	3211	16614
162	3233	16601
163	3249	16566
164	3269	16545
165	3288	16520
166	3308	16501
167	3328	16481
168	3346	16457
169	3363	16421
170	3381	16391
171	3400	16367
172	3419	16344
173	3438	16322
174	3459	16310
175	3481	16298
176	3501	16279
177	3522	16265
178	3542	16245
179	3560	16217
180	3580	16199
181	3596	16165
182	3616	16145
183	3636	16124
184	3654	16097
185	3672	16073
186	3692	16051
187	3710	16025
188	3730	16006
189	3748	15979
190	3767	15958
191	3787	15938
192	3807	15919
193	3826	15897
194	3845	15874
195	3863	15846
196	3881	15819
197	3898	15792
198	3918	15770
199	3937	15748
200	3955	15724
201	3973	15695
202	3992	15673
203	4009	15645
204	4029	15626
205	4051	15615
206	4070	15594
207	4089	15572
208	4110	15555
209	4127	15528
210	4144	15498
211	4162	15470
212	4182	15454
213	4203	15440
214	4224	15422
215	4241	15395
216	4259	15370
217	4278	15348
218	4298	15328
219	4316	15302
220	4336	15285
221	4355	15264
222	4374	15243
223	4394	15223
224	4411	15194
225	4428	15165
226	4447	15144
227	4465	15118
228	4485	15103
229	4507	15091
230	4526	15069
231	4544	15043
232	4561	15015
233	4581	14998
234	4600	14975
235	4617	14949
236	4639	14935
237	4659	14916
238	4676	14890
239	4696	14872
240	4717	14857
241	4735	14833
242	4755	14813
243	4774	14791
244	4792	14770
245	4811	14746
246	4831	14729
247	4849	14704
248	4868	14683
249	4887	14663
250	4906	14642
251	4927	14625
252	4945	14602
253	4965	14583
254	4985	14566
255	5002	14539
256	5021	14516
257	5039	14492
258	5058	14472
259	5076	14449
260	5094	14425
261	5114	14406
262	5133	14384
263	5152	14363
264	5170	14340
265	5191	14326
266	5209	14302
267	5228	14281
268	5247	14260
269	5265	14237
270	5283	14213
271	5302	14192
272	5321	14171
273	5341	14154
274	5362	14137
275	5380	14114
276	5400	14094
277	5417	14070
278	5437	14051
279	5456	14031
280	5477	14014
281	5495	13992
282	5514	13972
283	5533	13951
284	5553	13932
285	5570	13907
286	5590	13888
287	5607	13863
288	5625	13840
289	5645	13821
290	5665	13802
291	5683	13779
292	5702	13759
293	5721	13738
294	5740	13719
295	5759	13697
296	5780	13681
297	5797	13657
298	5819	13642
299	5837	13620
300	5858	13604
301	5880	13590
302	5899	13570
303	5915	13542
304	5935	13525
305	5954	13505
306	5974	13486
307	5994	13467
308	6015	13452
309	6035	13433
310	6052	13408
311	6070	13386
312	6087	13361
313	6107	13342
314	6128	13326
315	6146	13305
316	6165	13284
317	6183	13261
318	6202	13241
319	6220	13218
320	6238	13195
321	6255	13172
322	6275	13153
323	6292	13129
324	6312	13110
325	6330	13088
326	6350	13070
327	6372	13056
328	6393	13038
329	6413	13021
330	6436	13008
331	6458	12994
332	6476	12972
333	6494	12949
334	6513	12929
335	6531	12907
336	6553	12892
337	6571	12870
338	6591	12852
339	6609	12829
340	6625	12803
341	6641	12777
342	6660	12758
343	6678	12736
344	6699	12719
345	6720	12701
346	6740	12683
347	6756	12658
348	6773	12634
349	6793	12616
350	6810	12593
351	6827	12568
352	6845	12546
353	6865	12528
354	6883	12506
355	6904	12489
356	6923	12469
357	6941	12447
358	6959	12427
359	6979	12407
360	6997	12385
361	7017	12367
362	7037	12349
363	7056	12328
364	7077	12312
365	7096	12292
366	7116	12274
367	7136	12255
368	7154	12233
369	7171	12210
370	7190	12190
371	7208	12169
372	7227	12148
373	7246	12128
374	7264	12107
375	7284	12089
376	7303	12069
377	7323	12050
378	7341	12028
379	7361	12011
380	7381	11992
381	7401	11974
382	7420	11954
383	7441	11936
384	7461	11918
385	7481	11901
386	7500	11880
387	7519	11860
388	7535	11836
389	7553	11814
390	7572	11794
391	7590	11772
392	7607	11750
393	7627	11731
394	7647	11712
395	7665	11691
396	7682	11669
397	7700	11647
398	7719	11627
399	7739	11609
400	7756	11586
401	7777	11570
402	7796	11549
403	7815	11529
404	7833	11508
405	7853	11490
406	7872	11469
407	7890	11448
408	7908	11427
409	7928	11409
410	7947	11388
411	7965	11368
412	7984	11348
413	8001	11326
414	8021	11306
415	8039	11286
416	8057	11265
417	8075	11244
418	8097	11227
419	8115	11207
420	8134	11186
421	8154	11169
422	8175	11151
423	8196	11134
424	8213	11112
425	8231	11091
426	8249	11070
427	8268	11051
428	8287	11030
429	8303	11007
430	8322	10986
431	8341	10967
432	8361	10948
433	8379	10928
434	8400	10911
435	8417	10888
436	8435	10867
437	8454	10847
438	8473	10827
439	8490	10806
440	8506	10782
441	8526	10764
442	8546	10746
443	8565	10726
444	8589	10712
445	8607	10691
446	8625	10671
447	8644	10650
448	8661	10629
449	8681	10610
450	8698	10588
451	8719	10571
452	8736	10549
453	8755	10529
454	8774	10510
455	8793	10490
456	8812	10470
457	8831	10451
458	8850	10431
459	8870	10413
460	8887	10391
461	8906	10371
462	8925	10351
463	8943	10331
464	8962	10311
465	8980	10290
466	9001	10273
467	9021	10254
468	9038	10233
469	9056	10213
470	9076	10194
471	9097	10176
472	9117	10158
473	9138	10140
474	9158	10122
